account_id,contract_type,customer_id,has_device_protection,has_internet_service,has_multiple_lines,has_online_backup,has_online_security,has_phone_service,has_premium_tech_support,has_unlimited_data,internet_type,num_referrals,paperless_billing,payment_method,tenure_months,avg_gb_download_monthly,avg_long_distance_fee_monthly,stream_movie,stream_music,stream_tv,total_charges_quarter,total_long_distance_fee,total_monthly_fee,total_refunds,age,gender,married,num_dependents,senior_citizen,zip_code,area_id,city,latitutde,longitude,population,status
LPGD-JLSMW,Two Year,3230-IUALN,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Cable,10,Yes,Credit Card,45,29,26.01,Yes,Yes,Yes,3533.6,1170.45,81.0,0.0,41,Female,Yes,0,No,95501,1284,Eureka,40.796621,-124.15428,23224,0
LPNW-DDSUX,Month-to-Month,3462-BJQQA,No,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,0,Yes,Bank Withdrawal,6,42,34.42,No,No,Yes,552.65,206.52,89.75,0.0,23,Female,No,0,No,94920,1026,Belvedere Tiburon,37.885629,-122.46858,13065,0
LPUQ-WKDQG,Month-to-Month,3088-LHEFH,No,Yes,Yes,No,Yes,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,11,48,10.06,No,No,No,929.3,110.66,79.0,0.0,28,Female,No,0,No,95726,1415,Pollock Pines,38.733908,-120.453416,8577,0
LPVW-WTRIH,One Year,0956-SYCWG,No,No,No,No,No,Yes,No,No,None,0,No,Bank Withdrawal,13,0,33.13,No,No,No,244.8,430.69,19.65,0.0,61,Female,No,0,No,91301,188,Agoura Hills,34.129058,-118.759788,25303,0
LQJQ-YUWWZ,Month-to-Month,3753-TSEMP,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,1,No,Bank Withdrawal,15,76,12.27,Yes,Yes,Yes,1390.6,184.05,88.15,0.0,21,Female,Yes,0,No,92139,379,San Diego,32.677716,-117.047666,36351,1
LQSH-TFIOZ,Month-to-Month,4765-OXPPD,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,1,No,Mailed Check,9,69,6.35,No,No,No,663.05,57.15,65.0,0.0,20,Female,Yes,0,No,93003,605,Ventura,34.279221,-119.221437,46894,1
LQZO-QSGPK,Two Year,3785-KTYSH,No,No,Yes,No,No,Yes,No,No,None,0,No,Credit Card,53,0,34.16,No,No,No,1279.0,1810.48,24.6,37.68,24,Male,No,0,No,91345,207,Mission Hills,34.266389,-118.459744,17112,0
LSRP-BXYKT,One Year,1370-GGAWX,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,46,3,33.18,Yes,Yes,No,4408.45,1526.28,94.15,0.0,55,Female,No,0,No,90211,64,Beverly Hills,34.063947,-118.383001,8321,0
LSUE-MOYAH,Month-to-Month,4667-OHGKG,No,No,No,No,No,Yes,No,No,None,0,Yes,Credit Card,1,0,49.2,No,No,No,19.3,49.2,19.3,0.0,61,Male,No,0,No,93067,623,Summerland,34.420998,-119.60137,576,1
LTDQ-HYYRT,Two Year,4883-KCPZJ,No,No,Yes,No,No,Yes,No,No,None,9,No,Credit Card,22,0,25.98,No,No,No,555.4,571.56,25.25,0.0,30,Female,Yes,3,No,94576,977,Deer Park,38.554383,-122.474773,223,0
LTLC-WMRXF,Month-to-Month,0722-TROQR,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,4,29,26.23,No,No,No,321.75,104.92,74.9,0.0,68,Female,No,0,Yes,95616,1339,Davis,38.508735,-121.678813,67411,1
LTZX-PBEZP,Month-to-Month,3569-EDBPQ,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,24,3,25.81,No,No,No,1938.05,619.44,84.35,0.0,44,Female,No,0,No,95665,1378,Pine Grove,38.400264,-120.641274,4354,0
LUCY-JRWIB,Two Year,1245-HARPS,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,14,0,14.61,No,No,No,292.4,204.54,20.4,0.0,46,Female,Yes,0,No,96114,1600,Janesville,40.294034,-120.512622,3093,0
LUWU-HWJIA,Month-to-Month,0128-MKWSG,No,Yes,No,No,Yes,No,Yes,Yes,DSL,0,No,Credit Card,26,19,0.0,Yes,Yes,No,1147.0,0.0,45.8,0.0,51,Female,No,2,No,91381,220,Stevenson Ranch,34.364153,-118.615583,9937,0
LVIS-ICPPJ,Two Year,0343-QLUZP,Yes,Yes,No,Yes,Yes,No,No,Yes,DSL,0,No,Bank Withdrawal,60,25,0.0,No,No,No,2424.5,0.0,39.6,38.46,38,Male,No,0,No,95111,1094,San Jose,37.284265,-121.827673,57748,0
LVXL-ZGNWY,Two Year,2208-NKVVH,No,No,Yes,No,No,Yes,No,No,None,4,No,Credit Card,43,0,2.81,No,No,No,1077.95,120.83,24.25,0.0,60,Male,Yes,2,No,92626,534,Costa Mesa,33.678591,-117.905471,48207,0
LWDZ-VJFAJ,Month-to-Month,3001-CBHLQ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Fiber Optic,1,Yes,Bank Withdrawal,32,22,43.51,Yes,No,Yes,3351.55,1392.32,104.9,33.73,76,Male,Yes,0,Yes,95222,1134,Angels Camp,38.071327,-120.632221,4264,1
LXBK-CZDKB,Month-to-Month,0875-CABNR,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,10,30,16.85,Yes,Yes,No,865.55,168.5,84.6,0.0,70,Female,No,0,Yes,93401,699,San Luis Obispo,35.233745,-120.626442,27047,1
LXFP-KIJSO,Month-to-Month,4257-GAESD,No,Yes,No,No,No,No,No,Yes,Cable,0,No,Credit Card,6,52,0.0,Yes,Yes,Yes,298.7,0.0,45.0,0.0,25,Female,No,0,No,93618,781,Dinuba,36.523619,-119.386868,24206,0
LXHH-YGTZW,Month-to-Month,3677-IYRBF,Yes,Yes,No,No,No,No,No,Yes,DSL,0,Yes,Bank Withdrawal,2,13,0.0,No,No,No,78.65,0.0,30.4,0.0,73,Female,No,0,Yes,95658,1371,Newcastle,38.883224,-121.15918,6096,1
LXJP-WCJAM,Month-to-Month,1750-CSKKM,No,Yes,No,No,No,Yes,No,Yes,DSL,0,No,Bank Withdrawal,9,27,41.02,No,No,Yes,449.75,369.18,55.35,0.0,40,Male,No,3,No,91932,299,Imperial Beach,32.579134,-117.119009,26662,1
LXTL-RLOPA,Month-to-Month,2347-WKKAE,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Fiber Optic,9,Yes,Bank Withdrawal,42,11,41.16,Yes,Yes,No,4014.6,1728.72,94.4,0.0,52,Male,Yes,0,No,95663,1376,Penryn,38.859093,-121.182872,2048,0
LXWP-RWELJ,Month-to-Month,4020-KIUDI,No,No,No,No,No,Yes,No,No,None,8,No,Credit Card,6,0,23.73,No,No,No,138.85,142.38,19.85,0.0,54,Male,Yes,2,No,90044,41,Los Angeles,33.952714,-118.292061,87383,0
LYCV-MDKMI,Two Year,0263-FJTQO,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Cable,10,Yes,Credit Card,50,28,44.49,No,No,Yes,3486.65,2224.5,70.5,0.0,53,Male,Yes,2,No,95672,1384,Rescue,38.724322,-120.991237,3815,0
LYMY-SJFQB,Month-to-Month,4456-RHSNB,Yes,Yes,No,No,No,Yes,No,Yes,DSL,3,Yes,Bank Withdrawal,19,17,7.42,No,No,No,962.9,140.98,49.6,0.0,43,Female,Yes,1,No,92401,478,San Bernardino,34.105935,-117.2914,1779,0
LYUQ-YSLBC,One Year,4676-MQUEA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Fiber Optic,9,Yes,Bank Withdrawal,50,17,14.49,No,No,Yes,5265.5,724.5,101.9,0.0,80,Male,Yes,0,Yes,92651,542,Laguna Beach,33.570023,-117.773669,25206,0
LZTK-GNJIQ,Two Year,3669-WHAFY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,7,Yes,Credit Card,71,9,9.44,Yes,Yes,Yes,8078.1,670.24,115.15,0.0,57,Female,Yes,0,No,90604,115,Whittier,33.929704,-118.01208,37887,0
LZUR-TDIFT,Two Year,1206-EHBDD,Yes,Yes,No,No,Yes,Yes,No,Yes,Fiber Optic,9,No,Bank Withdrawal,56,15,4.24,No,No,No,4513.65,237.44,80.3,0.0,56,Female,Yes,0,No,94572,975,Rodeo,38.027218,-122.23463,8506,0
MASD-IWANT,Two Year,1891-QRQSA,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,9,Yes,Bank Withdrawal,64,10,16.33,Yes,No,Yes,7099.0,1045.12,111.6,0.0,71,Male,Yes,0,Yes,90241,72,Downey,33.940884,-118.128628,40152,0
MAVR-JYLJU,Month-to-Month,2359-KLTEK,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,2,Yes,Bank Withdrawal,41,59,43.19,Yes,Yes,Yes,3848.0,1770.79,94.9,0.0,25,Female,Yes,3,No,96054,1558,Lookout,41.280478,-121.160249,386,0
MBHE-JNLRO,Month-to-Month,2357-COQEK,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,28,10,28.14,Yes,No,Yes,2890.65,787.92,103.3,0.0,79,Female,No,0,Yes,94027,869,Atherton,37.454924,-122.203168,6876,1
MBIF-PCQGH,Two Year,0356-OBMAC,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,56,16,17.33,No,No,Yes,5706.3,970.48,99.9,0.0,80,Female,No,0,Yes,92596,523,Winchester,33.657433,-117.04254,4093,0
MCXL-UGCGJ,Month-to-Month,3003-CMDUU,No,Yes,No,No,No,Yes,Yes,No,Fiber Optic,0,Yes,Bank Withdrawal,25,52,29.81,Yes,Yes,Yes,2395.7,745.25,95.15,0.0,22,Female,Yes,0,No,93060,619,Santa Paula,34.402343,-119.094824,32511,0
MDDJ-QEISG,One Year,5035-PGZXH,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,0,Yes,Bank Withdrawal,56,2,32.43,Yes,Yes,Yes,5914.4,1816.08,106.8,0.0,49,Female,No,0,No,95926,1467,Chico,39.745712,-121.84333,35808,0
MDZZ-MYVEO,Month-to-Month,0689-DSXGL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,3,No,Bank Withdrawal,52,24,16.87,No,No,No,4433.3,877.24,85.8,0.0,61,Female,Yes,1,No,96097,1588,Yreka,41.764869,-122.671316,9538,0
MENP-IFNUC,Month-to-Month,3014-WJKSM,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,10,Yes,Credit Card,29,59,3.35,No,No,No,2263.4,97.15,75.3,0.0,26,Male,Yes,0,No,93401,699,San Luis Obispo,35.233745,-120.626442,27047,0
MENU-HRKZW,Two Year,5126-RCXYW,Yes,Yes,No,No,No,No,Yes,No,DSL,0,No,Credit Card,54,19,0.0,Yes,Yes,No,2424.05,0.0,46.0,0.0,41,Male,Yes,1,No,91803,286,Alhambra,34.074736,-118.145959,30635,0
MERZ-WKHJC,One Year,3096-WPXBT,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Fiber Optic,5,Yes,Credit Card,61,19,18.26,Yes,Yes,No,6018.65,1113.86,100.7,0.0,60,Female,Yes,1,No,90291,94,Venice,33.991782,-118.479229,31021,0
MFDN-OAHXL,Two Year,3813-DHBBB,No,Yes,No,Yes,Yes,No,Yes,Yes,DSL,10,Yes,Bank Withdrawal,67,6,0.0,Yes,Yes,No,3521.7,0.0,50.95,0.0,39,Male,Yes,0,No,96104,1591,Cedarville,41.505916,-120.152505,857,0
MFIE-GZDNU,One Year,4565-EVZMJ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,0,Yes,Credit Card,47,5,26.35,No,No,No,2813.05,1238.45,58.9,0.0,55,Female,No,0,No,92128,375,San Diego,33.000269,-117.072093,42733,0
MFTG-HOHAJ,Two Year,1452-UZOSF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,9,Yes,Credit Card,72,24,7.16,No,No,Yes,7548.6,515.52,106.1,23.39,31,Male,Yes,1,No,95446,1251,Guerneville,38.52576,-123.013347,4913,0
MGAL-XJSEZ,One Year,4685-TFLLS,No,No,No,No,No,Yes,No,No,None,1,No,Bank Withdrawal,18,0,45.18,No,No,No,342.3,813.24,19.8,0.0,39,Male,Yes,3,No,93962,857,Spreckels,36.624641,-121.647195,407,0
MGOW-EFVOJ,Month-to-Month,2223-KAGMX,No,No,No,No,No,Yes,No,No,None,0,No,Bank Withdrawal,15,0,33.14,No,No,No,289.3,497.1,19.4,0.0,47,Female,No,0,No,95409,1226,Santa Rosa,38.468893,-122.580539,25718,1
MHBL-FDDDF,Month-to-Month,2657-VPXTA,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,8,Yes,Bank Withdrawal,10,51,32.76,Yes,Yes,Yes,929.45,327.6,88.85,0.0,45,Female,Yes,3,No,92539,497,Anza,33.527605,-116.666551,3745,0
MHCS-JYQBK,Month-to-Month,4431-EDMIQ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,8,Yes,Bank Withdrawal,7,53,16.22,No,No,Yes,554.05,113.54,75.7,0.0,47,Female,Yes,3,No,92386,472,Sugarloaf,34.243088,-116.830015,1834,0
MHYN-EUOUY,One Year,2359-QWQUL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber Optic,1,Yes,Credit Card,39,7,9.51,Yes,Yes,Yes,4134.85,370.89,104.7,0.0,35,Female,Yes,0,No,90058,49,Los Angeles,34.001617,-118.222274,3642,1
MIAI-ISVPO,Month-to-Month,0231-LXVAP,No,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,1,27,44.56,No,No,No,75.9,44.56,75.9,0.0,23,Male,No,0,No,92592,521,Temecula,33.507255,-117.029473,46171,1
MJCH-OHVEB,Month-to-Month,1941-HOSAM,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,1,Yes,Bank Withdrawal,1,59,24.33,Yes,Yes,Yes,90.1,24.33,90.1,0.0,20,Male,Yes,3,No,92101,350,San Diego,32.72523,-117.171346,27505,0
MJCK-NPBGP,Month-to-Month,2801-NISEI,No,Yes,No,No,Yes,Yes,Yes,Yes,DSL,0,No,Bank Withdrawal,24,69,30.07,No,No,No,1348.5,721.68,54.95,0.0,28,Male,No,0,No,91759,265,Mt Baldy,34.231318,-117.662032,47,0
MJND-SRZTQ,One Year,1353-GHZOS,No,Yes,No,No,Yes,Yes,No,Yes,DSL,10,Yes,Bank Withdrawal,22,51,6.03,No,No,Yes,1374.35,132.66,59.75,0.0,22,Male,Yes,0,No,92115,363,San Diego,32.762506,-117.07245,56887,0
MJSQ-ZGTFO,Two Year,1790-NESIO,No,No,No,No,No,Yes,No,No,None,0,Yes,Credit Card,13,0,6.56,No,No,No,261.3,85.28,20.4,0.0,23,Female,No,0,No,94518,938,Concord,37.950248,-122.022455,27394,0
MJWM-BDKEX,Month-to-Month,2372-HWUHI,No,Yes,No,No,No,Yes,No,Yes,DSL,0,No,Bank Withdrawal,2,3,46.84,No,No,No,81.25,93.68,44.35,0.0,45,Male,No,0,No,90712,134,Lakewood,33.840524,-118.148403,30173,1
MKKL-HYDLP,One Year,3709-OIJEA,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,26,11,29.72,No,No,No,2184.6,772.72,85.2,0.0,51,Male,No,0,No,95441,1246,Geyserville,38.731771,-123.064272,2349,0
MKTT-EGEII,One Year,0864-FVJNJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,1,No,Bank Withdrawal,64,19,6.83,Yes,Yes,Yes,7222.75,437.12,113.35,0.0,63,Female,Yes,1,No,95570,1322,Trinidad,41.162295,-124.027381,2369,0
MLBW-JLTAK,Month-to-Month,2027-CWDNU,No,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,1,Yes,Bank Withdrawal,18,28,28.04,Yes,Yes,No,1601.5,504.72,85.6,0.0,45,Male,Yes,3,No,90291,94,Venice,33.991782,-118.479229,31021,0
MLCY-JCJRL,Month-to-Month,1471-GIQKQ,No,Yes,No,Yes,No,Yes,No,Yes,DSL,0,No,Bank Withdrawal,1,27,44.98,No,No,No,49.95,44.98,49.95,0.0,37,Female,No,0,No,92257,407,Niland,33.345825,-115.596574,2753,0
MLFY-SRMCV,Month-to-Month,5032-MIYKT,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,1,52,38.81,No,Yes,No,70.7,38.81,70.7,0.0,19,Female,No,0,No,95571,1323,Weott,40.310119,-123.909449,270,0
MLWY-ULGPH,Two Year,2068-WWXQZ,No,No,No,No,No,Yes,No,No,None,0,No,Bank Withdrawal,46,0,30.25,No,No,No,902.0,1391.5,20.05,0.0,61,Male,No,0,No,90604,115,Whittier,33.929704,-118.01208,37887,0
MLZL-JRXTU,Month-to-Month,1488-SYSFC,No,No,No,No,No,Yes,No,No,None,10,Yes,Bank Withdrawal,31,0,9.56,No,No,No,702.05,296.36,20.65,43.76,31,Male,Yes,1,No,91007,163,Arcadia,34.128284,-118.047732,30933,0
MMCO-ZRDZC,One Year,4612-SSVHJ,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,20,21,23.18,Yes,Yes,No,1671.6,463.6,81.45,0.0,74,Female,No,0,Yes,92398,476,Yermo,35.013299,-116.834092,1195,0
MMCZ-CUQBG,Month-to-Month,3988-RQIXO,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,1,2,43.61,Yes,Yes,Yes,91.3,43.61,91.3,0.0,68,Female,No,0,Yes,92625,533,Corona Del Mar,33.600987,-117.862734,13422,1
MMPJ-IYPAW,Two Year,2863-IMQDR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,0,No,Bank Withdrawal,61,8,23.45,Yes,Yes,Yes,5308.7,1430.45,89.65,0.0,52,Female,No,0,No,92130,377,San Diego,32.957195,-117.202542,28201,0
MMRS-OOZRA,Two Year,0906-QVPMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,4,No,Bank Withdrawal,72,58,35.71,Yes,Yes,Yes,8349.45,2571.12,115.15,0.0,29,Male,Yes,0,No,93940,851,Monterey,36.362741,-121.869685,32857,0
MMVL-RANCG,Two Year,0506-YLVKJ,No,No,No,No,No,Yes,No,No,None,1,Yes,Credit Card,46,0,45.92,No,No,No,917.45,2112.32,20.2,0.0,54,Male,Yes,1,No,93666,815,Sultana,36.545353,-119.338535,306,0
MONY-VNNPU,Two Year,3166-PNEOF,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Cable,0,No,Credit Card,61,24,4.51,Yes,Yes,Yes,5175.3,275.11,86.45,0.0,57,Female,No,0,No,94596,992,Walnut Creek,37.900662,-122.052782,40917,0
MORM-VZSPZ,Month-to-Month,1092-GANHU,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,17,7,30.61,No,No,No,1313.55,520.37,76.65,0.0,62,Male,No,0,No,95954,1489,Magalia,39.933852,-121.584371,11168,1
MOSL-ZWGBY,Month-to-Month,2476-YGEFM,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,29,42,7.01,No,No,No,2215.25,203.29,76.0,0.0,24,Female,No,0,No,93611,776,Clovis,36.917652,-119.593757,46858,0
MQTQ-YRTHJ,Month-to-Month,4446-BZKHU,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,1,Yes,Bank Withdrawal,61,24,45.7,Yes,Yes,Yes,6281.45,2787.7,105.55,0.0,44,Male,Yes,0,No,94523,942,Pleasant Hill,37.95338,-122.076886,32685,1
MRCO-VZWSG,One Year,4955-VCWBI,No,No,No,No,No,Yes,No,No,None,5,No,Credit Card,43,0,35.2,No,No,No,817.95,1513.6,20.0,0.0,51,Female,Yes,2,No,96120,1605,Markleeville,38.735789,-119.85798,957,0
MRDS-UPXIJ,Month-to-Month,2911-UREFD,Yes,Yes,No,No,Yes,No,No,Yes,DSL,3,No,Bank Withdrawal,39,13,0.0,Yes,Yes,Yes,2184.35,0.0,55.9,0.0,50,Female,Yes,0,No,90405,106,Santa Monica,34.005439,-118.477507,26099,1
MRLQ-QDTIV,One Year,3199-NPKCN,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,1,Yes,Bank Withdrawal,67,23,35.03,Yes,Yes,Yes,7511.65,2347.01,111.25,0.0,39,Female,Yes,0,No,94025,868,Menlo Park,37.449551,-122.183762,39062,0
MSWQ-LGOQU,Month-to-Month,1771-OADNZ,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,1,Yes,Bank Withdrawal,29,21,35.38,Yes,Yes,No,2745.2,1026.02,95.9,0.0,70,Male,Yes,0,Yes,92061,335,Pauma Valley,33.313828,-116.940501,2615,1
MSYS-YNQTB,Month-to-Month,3946-MHCZW,Yes,Yes,No,No,No,Yes,No,Yes,DSL,0,No,Credit Card,1,11,6.95,No,No,No,50.9,6.95,50.9,0.0,50,Male,No,0,No,91761,266,Ontario,34.035602,-117.591528,56280,1
MTCH-KEBKD,Month-to-Month,2612-RANWT,Yes,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,12,47,30.54,Yes,Yes,Yes,1164.3,366.48,100.15,0.0,24,Female,No,0,No,91948,305,Mount Laguna,32.830852,-116.444601,81,1
MTIZ-SFCPC,Month-to-Month,4280-DLSHD,Yes,Yes,No,Yes,No,Yes,No,Yes,Cable,10,Yes,Credit Card,8,8,19.0,No,No,No,445.85,152.0,54.75,0.0,36,Male,Yes,0,No,92411,484,San Bernardino,34.122501,-117.320138,23146,0
MTKQ-MYITF,Two Year,5067-WJEUN,No,Yes,No,Yes,Yes,Yes,No,No,Cable,1,Yes,Bank Withdrawal,67,26,10.9,No,No,No,3838.2,730.3,54.2,0.0,42,Male,Yes,2,No,93308,694,Bakersfield,35.559617,-118.925185,44915,0
MUDY-NLIEW,Month-to-Month,2257-BOVXD,No,Yes,Yes,No,No,Yes,Yes,Yes,DSL,3,Yes,Credit Card,14,11,22.14,No,No,Yes,979.5,309.96,66.6,0.0,48,Male,Yes,0,No,96145,1623,Tahoe City,39.178337,-120.162806,4002,0
MUGM-AESYU,Two Year,1821-BUCWY,Yes,Yes,No,No,Yes,Yes,No,Yes,Cable,0,Yes,Mailed Check,30,24,47.06,No,No,No,1653.85,1411.8,55.65,0.0,35,Male,No,0,No,93563,765,Valyermo,34.39583,-117.734568,413,0
MUUF-DUPWT,One Year,1813-JLKWR,No,No,No,No,No,Yes,No,No,None,7,No,Bank Withdrawal,64,0,23.25,No,No,No,1336.65,1488.0,19.8,0.0,47,Female,Yes,0,No,92868,594,Orange,33.787796,-117.875928,23172,0
MVCA-YJWJV,Month-to-Month,3199-XGZCY,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,8,3,18.82,No,No,No,576.7,150.56,75.25,0.0,51,Female,No,0,No,91344,206,Granada Hills,34.291273,-118.505104,48867,0
MWGT-ZCREQ,One Year,3243-ZHOHY,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,16,0,20.65,No,No,No,296.15,330.4,20.1,0.0,35,Female,No,0,No,92025,322,Escondido,33.081478,-117.033814,49281,0
MWPU-NIPXX,Month-to-Month,4626-GYCZP,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,7,23,15.51,Yes,Yes,Yes,635.6,108.57,93.85,0.0,60,Male,No,0,No,95503,1285,Eureka,40.737431,-124.108897,23570,1
MXBG-JMIUC,Month-to-Month,5108-ADXWO,No,Yes,No,No,Yes,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,11,30,38.88,No,No,No,791.75,427.68,73.5,0.0,30,Male,No,0,No,94130,911,San Francisco,37.820894,-122.369725,1458,1
MXTN-UXRGK,One Year,2957-JIRMN,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,No,Bank Withdrawal,62,3,19.52,No,No,Yes,4959.15,1210.24,84.45,0.0,69,Female,No,0,Yes,94591,989,Vallejo,38.105733,-122.186338,51665,0
MXUD-EKKXR,Month-to-Month,1850-AKQEP,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,8,0,14.37,No,No,No,178.7,114.96,20.35,0.0,61,Male,No,1,No,95064,1087,Santa Cruz,37.007882,-122.065975,4563,0
MXXU-ZFGQY,One Year,0788-DXBFY,No,No,No,No,No,Yes,No,No,None,3,Yes,Bank Withdrawal,58,0,27.93,No,No,No,1108.8,1619.94,19.55,0.0,54,Male,Yes,0,No,92780,569,Tustin,33.735802,-117.818805,55062,0
MXYN-XDLIM,Month-to-Month,0117-LFRMW,Yes,Yes,No,Yes,Yes,No,No,Yes,DSL,1,No,Bank Withdrawal,37,23,0.0,No,No,No,1448.8,0.0,40.2,0.0,52,Male,Yes,1,No,94508,929,Angwin,38.542448,-122.419923,3641,1
MYBI-AIMUM,Two Year,1813-JYWTO,No,Yes,Yes,No,Yes,Yes,No,No,Fiber Optic,4,No,Bank Withdrawal,72,27,6.23,No,No,No,5737.6,448.56,80.45,0.0,59,Female,Yes,0,No,93461,730,Shandon,35.634488,-120.293534,1255,0
MYKZ-CYKSW,Month-to-Month,3318-NMQXL,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,3,9,15.6,Yes,Yes,Yes,266.8,46.8,92.0,0.0,58,Male,No,0,No,91731,250,El Monte,34.079934,-118.046695,30211,0
MZQJ-OSZKJ,Month-to-Month,0096-BXERS,No,Yes,Yes,No,No,Yes,No,Yes,Cable,10,No,Bank Withdrawal,6,85,42.66,No,No,No,314.55,255.96,50.35,0.0,30,Female,Yes,0,No,94937,1036,Inverness,38.099323,-122.945723,1004,0
NADW-ZWPAX,Month-to-Month,0876-WDUUZ,No,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Credit Card,5,17,43.51,Yes,Yes,No,425.9,217.55,85.4,0.0,62,Female,No,0,No,95665,1378,Pine Grove,38.400264,-120.641274,4354,1
NAJD-OGVMX,Month-to-Month,0506-LVNGN,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,5,9,42.33,No,No,No,349.65,211.65,75.55,0.0,78,Female,No,0,Yes,95742,1419,Rancho Cordova,38.591134,-121.161585,299,1
NAZY-FLUBY,Month-to-Month,2430-USGXP,Yes,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,1,Yes,Bank Withdrawal,24,23,34.62,Yes,Yes,Yes,2391.8,830.88,101.05,0.0,44,Male,Yes,0,No,90670,127,Santa Fe Springs,33.933565,-118.062611,16271,1
NCAI-GSBAF,Month-to-Month,1624-NALOJ,No,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,5,12,36.36,Yes,No,No,502.6,181.8,89.8,0.0,75,Male,No,0,Yes,91605,237,North Hollywood,34.207295,-118.400022,57146,1
NCDA-SFYWL,Two Year,3249-VHRIP,Yes,Yes,No,Yes,No,No,No,Yes,Cable,0,Yes,Credit Card,62,30,0.0,Yes,Yes,No,2748.7,0.0,43.6,0.0,38,Female,No,0,No,95629,1350,Fiddletown,38.513484,-120.704613,850,0
NCEB-EFJZR,Month-to-Month,0939-EREMR,Yes,Yes,No,No,No,Yes,Yes,No,Cable,0,No,Credit Card,13,27,25.33,No,No,No,718.1,329.29,53.45,26.37,40,Female,No,1,No,95973,1504,Chico,39.903272,-121.843567,26971,0
